features,net_profit,stock_profit
"['RSI', 'RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",259.6727608960538,1527.963829098205
"['RSI', 'SMA_50', 'Volatility']",238.03412035149435,1527.963829098205
"['RSI', 'Bollinger_Upper', 'Bollinger_Lower', 'Volatility']",230.79141908180435,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Middle', 'Volatility']",202.2226816887668,1527.963829098205
"['RSI', 'Bollinger_Middle']",192.101722001716,1527.963829098205
"['SMA_50', 'Bollinger_Upper', 'Bollinger_Middle', 'Volatility']",178.37111227204804,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Lower', 'Volatility']",172.9477151700379,1527.963829098205
['SMA_50'],140.50616262959358,1527.963829098205
"['RSI', 'SMA_50', 'Bollinger_Lower']",138.2596014607964,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50', 'Bollinger_Upper']",125.96220127090515,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",111.39949324899146,1527.963829098205
['Volatility'],95.48737115988544,1527.963829098205
"['RSI', 'SMA_50', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",79.59447019170737,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Upper', 'Bollinger_Middle']",77.04386293071977,1527.963829098205
"['RSI', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",72.11829700304013,1527.963829098205
"['RSI', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Middle', 'Volatility']",66.86036833537219,1527.963829098205
"['SMA_50', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle']",46.89157786576679,1527.963829098205
"['RSI', 'SMA_50', 'Bollinger_Middle']",45.000144662655785,1527.963829098205
"['RSI', 'Volatility']",43.386227095928156,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50', 'Volatility']",32.58393703951844,1527.963829098205
"['RSI', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Lower']",30.91163561146477,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Middle']",22.99778849819917,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Lower', 'Volatility']",13.07305055421486,1527.963829098205
"['RSI', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle']",10.474028435802865,1527.963829098205
"['RSI_above_70', 'Bollinger_Lower', 'Volatility']",6.560792935930804,1527.963829098205
"['RSI', 'SMA_50', 'Bollinger_Upper']",4.825545142335795,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Lower']",0.7612514099708824,1527.963829098205
['RSI'],0.0,1527.963829098205
['Bollinger_Middle'],0.0,1527.963829098205
"['RSI_above_70', 'SMA_50']",0.0,1527.963829098205
"['SMA_50', 'Bollinger_Upper']",0.0,1527.963829098205
"['Bollinger_Upper', 'Bollinger_Middle']",0.0,1527.963829098205
"['RSI', 'Bollinger_Upper', 'Volatility']",0.0,1527.963829098205
"['RSI', 'Bollinger_Middle', 'Volatility']",0.0,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Volatility']",0.0,1527.963829098205
"['RSI_above_70', 'Bollinger_Upper', 'Bollinger_Middle']",0.0,1527.963829098205
"['SMA_50', 'Bollinger_Upper', 'Bollinger_Lower']",0.0,1527.963829098205
"['SMA_50', 'Bollinger_Upper', 'Volatility']",0.0,1527.963829098205
"['SMA_50', 'Bollinger_Lower', 'Volatility']",0.0,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Upper', 'Bollinger_Lower']",0.0,1527.963829098205
"['RSI', 'SMA_50', 'Bollinger_Middle', 'Volatility']",0.0,1527.963829098205
"['RSI', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle']",0.0,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Lower', 'Volatility']",0.0,1527.963829098205
"['RSI_above_70', 'Bollinger_Upper', 'Bollinger_Lower', 'Volatility']",0.0,1527.963829098205
"['RSI_above_70', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",0.0,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle']",0.0,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle']",0.0,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Lower', 'Volatility']",0.0,1527.963829098205
"['RSI_above_70', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",0.0,1527.963829098205
"['RSI', 'Bollinger_Lower']",-0.37623925123880325,1527.963829098205
"['RSI_above_70', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle']",-2.208564698548598,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50', 'Bollinger_Lower', 'Bollinger_Middle']",-11.350121945586888,1527.963829098205
"['Bollinger_Upper', 'Bollinger_Lower']",-11.5125644676933,1527.963829098205
"['RSI', 'SMA_50']",-14.310939405055741,1527.963829098205
"['Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",-14.592687338657035,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Middle']",-15.365431971037088,1527.963829098205
"['RSI_above_70', 'Bollinger_Upper', 'Bollinger_Lower']",-29.598280629682723,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle']",-31.793285974390855,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Middle', 'Volatility']",-32.37574441338886,1527.963829098205
"['Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",-40.050155735161184,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50', 'Bollinger_Lower', 'Volatility']",-40.33850634553141,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Lower']",-53.289565247956986,1527.963829098205
"['Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle']",-53.60657391928184,1527.963829098205
"['Bollinger_Lower', 'Volatility']",-56.11114283265386,1527.963829098205
"['SMA_50', 'Bollinger_Upper', 'Bollinger_Lower', 'Volatility']",-77.57247700709762,1527.963829098205
