Date,Close,High,Low,Open,Volume,RSI,RSI_2,RSI_above_70,RSI_2_below_30,RSI_below_30,RSI_2_above_90,RSI_2_below_10,RSI_2_cross_90,RSI_2_cross_10,RSI_slope,RSI_divergence,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,SMA_50,SMA_200,EMA_50,EMA_200,Momentum,Volatility,MACD,MACD_Signal,MACD_Hist,ADX,VWAP,ATR,Stochastic_K,Stochastic_D,Stoch_RSI,target
2023-10-18,78.16446685791016,80.93240345315333,77.52190934022651,80.37881160889242,14273500,43.10325989561601,16.349338827891927,0,0,0,0,0,0,0,-7.594550401951636,0,78.5490161895752,82.9179685953991,74.1800637837513,83.80535629272461,77.54057275772095,82.65109392827999,78.22656388453551,-3.2622146606445312,2.184476202911955,-1.1607892178698194,-1.7214429618051903,0.5606537439353709,20.502680392123466,75.35652486394561,3.0425450286798132,52.183147797323414,76.72660331025726,0.6468799470398839,-0.027317449885912126
2023-10-19,76.02921295166016,79.47924257265856,75.63379233348356,78.45115198220778,14782300,38.98655787187251,8.153064696857683,0,0,0,0,1,0,1,-4.1167020237435,0,78.35970954895019,82.82468121794332,73.89473787995706,83.54671844482422,77.62019706726075,82.39141232135373,78.2046996961487,-2.13525390625,2.2324858344965626,-1.3668183711354942,-1.6505180436712512,0.283699672535757,21.28865833300549,75.3607679074568,3.0998954008580415,29.180050167068906,56.23006515032501,0.4693736678440513,-0.03757648665103041
2023-10-20,73.17230224609375,76.01932463615923,73.08333656741466,75.75241251608014,16539100,34.27038110318394,3.4819710508531614,0,0,0,0,1,0,0,-4.716176768688577,0,78.0601791381836,83.06892013985733,73.05143813650987,83.23133712768555,77.67892498016357,82.02987859291217,78.15462608968049,-2.8569107055664062,2.5043705008368606,-1.7405626543815913,-1.6685269658133193,-0.07203568856827203,22.69082536925416,75.34543165676628,3.088894042528574,0.9345417372945444,27.43257990056229,0.2660188985623836,-0.005944213436987793
2023-10-23,72.73735046386719,74.82318696909734,71.3533820063559,72.28261937134602,17597900,33.6038907355,2.964766209360036,0,0,0,0,1,0,0,-0.6664903676839344,0,77.68947410583496,83.12573061030007,72.25321760136985,82.91179397583008,77.74615509033202,81.66546572510649,78.10072284962266,-0.4349517822265625,2.7181282522325554,-2.048243785941409,-1.7444703298389375,-0.30377345610247164,24.377817423117424,75.32612872445408,3.116101965400921,12.302306850914176,14.138966251759209,0.013877558661054066,0.022696230161435644
2023-10-24,74.38821411132812,74.981341220423,72.86584975470501,73.83462981510895,13914400,38.49325569370656,54.39118596141442,0,0,0,0,0,0,0,4.889364958206556,0,77.57974510192871,83.19568052561192,71.9638096782455,82.59745239257812,77.80151002883912,81.38008330887989,78.06378246416699,1.6508636474609375,2.8079677118416053,-2.1342698654464556,-1.822430236960441,-0.31183962848601454,25.85128327597102,75.32067196224635,3.0538083076262708,26.977085780923296,13.404644789710673,0.2864506008792719,-0.04358787275599751
2023-10-25,71.14579010009766,73.45898845311746,70.86899790831973,73.45898845311746,14034300,33.30560797548793,17.648985063447043,0,0,0,0,0,0,0,-5.187647718218628,1,77.30591735839843,83.61027675297501,71.00155796382185,82.27981201171875,77.8410446357727,80.97873847716293,77.99494671925088,-3.2424240112304688,3.1521796972882896,-2.4360019586560355,-1.94514458129956,-0.4908573773564755,27.643613386285153,75.29631623225654,3.087051728724994,2.3588802194163527,13.879424283751277,0.0,-0.03612622156622347
2023-10-26,68.5755615234375,70.95795772740507,68.03185723310209,70.5328818846031,13897800,29.869261531591533,8.522174885862455,0,1,1,0,1,0,1,-3.4363464438963973,0,76.83635711669922,84.23708475133463,69.4356294820638,81.9498275756836,77.86126321792602,80.4923393809384,77.90122149342189,-2.5702285766601562,3.7003638173177067,-2.849673519751434,-2.126050368989935,-0.7236231507614992,29.804717166270482,75.25771256620591,3.088971810030035,3.731364792089195,11.02244359747628,0.0,-0.014991985168333716
2023-10-27,67.54747772216797,69.49491823149357,66.82583445905937,69.2972041324123,16908800,28.598219189873177,6.028274646095483,0,1,1,0,1,0,0,-1.2710423417183563,0,76.34850959777832,84.82715697197182,67.86986222358482,81.64090621948242,77.86409715652466,79.98469774726114,77.79819916733976,-1.0280838012695312,4.239323687096753,-3.22331264128357,-2.345502823448662,-0.8778098178349083,31.994741283283446,75.20420436186551,3.058979807344618,4.573958836882091,3.554734616129213,0.0,0.03585520122192337
2023-10-30,69.96940612792969,70.47356757482787,68.27899043870461,68.94131559830346,13486500,35.555490261145806,60.49564404662269,0,0,0,0,0,0,0,6.957271071272629,0,75.98620643615723,84.91612670911204,67.05628616320243,81.3802261352539,77.87571027755737,79.59194121316972,77.72030072913667,2.4219284057617188,4.464960136477401,-3.2861146711834976,-2.533625192995629,-0.7524894781878686,33.44872601598967,75.17538781904135,3.0494876677242813,19.924758047713794,9.410027225561693,0.30656125982802157,0.017801817244082727
2023-10-31,71.2149887084961,71.39292762489964,69.22800539899347,70.20666566820215,14616400,38.8552690613625,75.25075278853546,0,0,0,0,0,0,0,3.299778800216693,0,75.84336166381836,84.99096195444716,66.69576137318955,81.11111846923828,77.89002500534058,79.26343327180997,77.65557125629446,1.2455825805664062,4.5738001453144,-3.1985072275421516,-2.6666015999049337,-0.5319056276372178,34.26922383834768,75.15190021348656,2.9863044218801305,27.81957774977302,17.439431544789638,0.4609734572258848,0.03192647411570949
