Date,Close,High,Low,Open,Volume
2024-01-02,216.55999755859375,227.58999633789062,210.5500030517578,225.91000366210938,1669800
2024-01-03,208.8300018310547,214.3300018310547,207.72500610351562,210.3699951171875,1454600
2024-01-04,205.17999267578125,212.97999572753906,204.9199981689453,206.27999877929688,1320900
2024-01-05,208.58999633789062,213.05999755859375,206.0,206.5,1628300
2024-01-08,225.4499969482422,226.1999969482422,211.0800018310547,211.5399932861328,1582100
2024-01-09,227.16000366210938,229.7100067138672,219.2949981689453,221.05999755859375,1253000
2024-01-10,233.80999755859375,237.24200439453125,227.47000122070312,228.72000122070312,1416700
2024-01-11,235.8300018310547,243.52000427246094,227.3000030517578,238.94000244140625,1820200
2024-01-12,233.83999633789062,238.8800048828125,232.25,234.4199981689453,1090900
2024-01-16,231.27999877929688,236.94000244140625,227.83999633789062,230.8000030517578,1231500
2024-01-17,227.2100067138672,228.0,216.77999877929688,226.47000122070312,1367400
2024-01-18,236.3000030517578,238.19000244140625,229.10000610351562,234.38999938964844,1654300
2024-01-19,251.69000244140625,251.75,238.67999267578125,240.77999877929688,1725100
2024-01-22,253.66000366210938,261.0,252.4499969482422,257.5299987792969,1437300
2024-01-23,260.0400085449219,261.3599853515625,251.89999389648438,256.8900146484375,938100
2024-01-24,274.42999267578125,286.7300109863281,273.1000061035156,274.29998779296875,2097900
2024-01-25,271.70001220703125,279.5799865722656,264.44000244140625,275.6600036621094,1557800
2024-01-26,269.54998779296875,276.07000732421875,267.9100036621094,269.6600036621094,903200
2024-01-29,283.0400085449219,283.8299865722656,269.04998779296875,271.04998779296875,1189200
2024-01-30,274.8900146484375,284.7200012207031,273.30499267578125,282.7900085449219,1153600
2024-01-31,251.7100067138672,265.8399963378906,250.1999969482422,258.8399963378906,1650300
2024-02-01,262.8299865722656,264.19000244140625,256.1099853515625,257.010009765625,1253400
2024-02-02,300.75,303.5,277.3580017089844,282.1300048828125,2393000
2024-02-05,299.4599914550781,306.5570068359375,287.9750061035156,301.260009765625,1288100
2024-02-06,294.29998779296875,304.7349853515625,286.6600036621094,302.2900085449219,1144200
2024-02-07,309.9100036621094,311.6499938964844,298.010009765625,299.3800048828125,1401800
2024-02-08,312.5,318.4700012207031,309.0,310.7699890136719,1177800
2024-02-09,329.2900085449219,330.1000061035156,317.3800048828125,319.0199890136719,1079900
2024-02-12,320.6499938964844,337.2200012207031,318.4779968261719,328.3999938964844,1360200
2024-02-13,307.19000244140625,316.5799865722656,294.9800109863281,298.9200134277344,1625200
2024-02-14,325.6199951171875,325.8800048828125,310.1099853515625,316.9800109863281,1409700
2024-02-15,327.0199890136719,328.1700134277344,316.02301025390625,324.4200134277344,970100
2024-02-16,316.8999938964844,328.80999755859375,313.5150146484375,328.57000732421875,1142400
2024-02-20,299.6000061035156,312.5,289.2099914550781,308.510009765625,1700100
2024-02-21,296.7300109863281,297.3500061035156,286.8450012207031,294.3599853515625,1145700
2024-02-22,337.5,340.2699890136719,321.0039978027344,325.79998779296875,1530700
2024-02-23,335.4800109863281,351.25,330.9949951171875,346.0,1473200
2024-02-26,334.82000732421875,341.54998779296875,331.70001220703125,337.3699951171875,669200
2024-02-27,338.4599914550781,341.05999755859375,331.989990234375,338.82000732421875,810600
2024-02-28,330.79998779296875,337.5,328.0,332.5400085449219,996700
2024-02-29,322.29998779296875,325.489990234375,309.739990234375,318.5899963378906,1447900
2024-03-01,341.79998779296875,344.2170104980469,326.7900085449219,326.9100036621094,1060200
2024-03-04,331.32000732421875,341.8900146484375,330.6700134277344,341.2799987792969,1186300
2024-03-05,308.80999755859375,322.3349914550781,302.1600036621094,322.1499938964844,1447400
2024-03-06,311.3699951171875,321.5,305.80999755859375,320.260009765625,1447200
2024-03-07,333.6300048828125,335.5,315.6199951171875,319.3699951171875,1133400
2024-03-08,311.4700012207031,346.5799865722656,307.56500244140625,339.3500061035156,1792900
2024-03-11,301.739990234375,310.8500061035156,297.0,305.739990234375,1038200
2024-03-12,321.6300048828125,322.17999267578125,300.0,309.8599853515625,1403300
2024-03-13,314.0400085449219,318.5,309.92999267578125,318.260009765625,912200
2024-03-14,310.8599853515625,319.8269958496094,305.0,316.69000244140625,1092400
2024-03-15,299.4800109863281,309.0,297.5849914550781,305.6499938964844,1074300
2024-03-18,314.0,323.1499938964844,312.1300048828125,316.04998779296875,1011600
2024-03-19,317.8500061035156,318.32000732421875,298.510009765625,306.5,963700
2024-03-20,333.6000061035156,336.19000244140625,317.42999267578125,321.2200012207031,1207400
2024-03-21,332.6400146484375,348.57501220703125,331.95001220703125,347.1700134277344,1071500
2024-03-22,339.4700012207031,341.6099853515625,328.5199890136719,329.9700012207031,600700
2024-03-25,337.20001220703125,340.29998779296875,330.489013671875,332.45001220703125,488600
2024-03-26,333.1099853515625,347.20001220703125,332.5,343.4100036621094,539600
2024-03-27,331.3599853515625,340.510009765625,323.79998779296875,340.510009765625,631800
2024-03-28,327.0,332.2300109863281,325.0,330.8999938964844,407500
2024-04-01,332.6000061035156,338.5,325.9200134277344,328.57000732421875,683100
2024-04-02,323.1499938964844,323.8900146484375,311.5400085449219,315.0,693400
2024-04-03,328.6000061035156,331.9150085449219,317.010009765625,317.010009765625,586800
2024-04-04,316.04998779296875,346.32000732421875,315.5,336.6000061035156,1092900
2024-04-05,329.20001220703125,336.5400085449219,319.0,321.32000732421875,995600
2024-04-08,331.0,337.989990234375,326.4100036621094,334.04998779296875,526500
2024-04-09,332.25,338.1000061035156,322.1520080566406,337.0,975400
2024-04-10,327.04998779296875,329.2300109863281,318.8800048828125,320.20001220703125,923500
2024-04-11,352.69000244140625,354.8699951171875,327.55999755859375,332.6199951171875,1445800
2024-04-12,336.7300109863281,347.489990234375,332.5,341.739990234375,1311800
2024-04-15,310.3999938964844,342.9800109863281,309.0450134277344,342.9800109863281,1370100
2024-04-16,309.17999267578125,315.01300048828125,304.7900085449219,307.2699890136719,917500
